date,open,high,low,close,volume
2015-06-19,42.3930,42.4247,41.6682,41.7678,63837036
2015-06-22,41.9762,42.3296,41.8222,41.8856,20318055
2015-06-23,41.7950,41.9309,41.3329,41.5957,25896473
2015-06-24,41.3782,41.8992,41.2695,41.3465,34890901
2015-06-25,41.7044,41.7316,41.2242,41.3601,20615995
2015-06-26,41.3601,41.9309,40.7984,41.0068,49835287
2015-06-29,40.8074,40.9796,40.1913,40.2004,34081746
2015-06-30,40.5084,40.5175,39.8108,40.0011,35945384
2015-07-01,40.2819,40.9796,39.9558,40.2683,28343907
2015-07-02,40.3001,40.5447,39.9195,40.2276,21752013
2015-07-06,39.8289,40.3001,39.8199,40.2185,23033961
2015-07-07,40.1732,40.3091,39.2491,40.1370,36435827
2015-07-08,40.2638,40.6806,39.8923,40.0826,39785901
2015-07-09,40.5447,40.9705,40.3182,40.3363,32424672
2015-07-10,40.7803,40.8980,40.3816,40.4178,25465757
2015-07-13,40.7485,41.3329,40.7260,41.2604,28178329
2015-07-14,41.1789,41.6410,41.0521,41.3329,22880260
2015-07-15,41.3873,41.5776,41.1608,41.4598,26629615
2015-07-16,41.6863,42.3024,41.6455,42.2752,26271673
2015-07-17,42.1755,42.3839,41.9128,42.2390,29467107
2015-07-20,42.2661,42.7010,42.0759,42.5108,30631905
2015-07-21,42.3839,42.8822,42.1121,42.8369,42781899
2015-07-22,41.1698,42.5198,40.9551,41.2604,59152427
2015-07-23,41.0158,41.8856,40.8618,41.7769,33934010
2015-07-24,41.5957,41.9671,41.4960,41.6229,32333244
2015-07-27,41.6229,41.6863,40.9977,41.0883,39701420
2015-07-28,41.2967,41.3501,40.5809,41.0792,34328948
2015-07-29,41.1336,42.3839,41.0068,41.9400,40945864
2015-07-30,41.9128,42.9457,41.6138,42.4745,39777883
2015-07-31,42.8460,42.9185,42.1302,42.3114,31201480
2015-08-03,42.5651,42.5832,42.0849,42.4111,24125886
2015-08-04,42.3567,43.2265,42.2933,43.0725,33403916
2015-08-05,43.4711,43.8607,43.0725,43.1087,26739584
2015-08-06,43.2265,43.2809,41.9762,42.2390,27368000
2015-08-07,42.0306,42.3839,41.9128,42.3477,19163038
2015-08-10,42.5379,43.0272,42.4383,42.8822,23079870
2015-08-11,42.4202,42.5289,41.5866,42.0487,29237402
2015-08-12,41.8494,42.4926,41.4099,42.3477,30198532
2015-08-13,42.6376,42.6738,42.1212,42.3386,22627241
2015-08-14,42.1574,42.6738,42.1484,42.5832,21473402
2015-08-17,42.4111,42.9910,42.1937,42.8732,21099746
2015-08-18,42.7166,43.2547,42.5889,43.1087,23574104
2015-08-19,42.6619,42.9355,42.2241,42.5068,31485511
2015-08-20,42.0144,42.3792,41.6405,41.6405,36238227
2015-08-21,41.3122,41.4763,39.2785,39.2785,70053084
2015-08-24,36.8891,39.4973,36.2234,38.0108,88753660
2015-08-25,38.8179,39.4335,36.8344,36.9074,70616597
2015-08-26,38.3118,39.0687,37.4454,38.9502,63407996
2015-08-27,39.3423,40.0810,39.1462,40.0354,50943211
2015-08-28,39.6433,40.2634,39.5703,40.0628,28246725
2015-08-31,39.8895,40.0628,39.3058,39.6889,34441662
2015-09-01,38.5124,38.8407,37.9926,38.1385,49688896
2015-09-02,38.5215,39.5612,38.1932,39.5429,37671518
2015-09-03,39.5885,40.1084,39.4700,39.6706,28285205
